MajorPorts,Province,Year,Latitude,Longitude,Values
Kabil/Panau,Kepulauan Riau,2013,1.352016667,104.1581722,1981.5
Hasanuddin 1,Sulawesi Selatan,2013,-5.14,119.4221,5.6
Dumai,Riau,2013,1.6861,101.44849,19635.2
Cirebon,Jawa Barat,2013,-6.70907,108.57073,2
Cilacap,Jawa Tengah,2013,-7.74913,109.01491,2370.4
Cigading,Banten,2013,6.016666667,105.95,182.3
Bontang,Kalimantan Timur,2013,0.08553,117.48763,33594.7
Blang Lancang (Arun),Aceh,2013,5.233333333,97.1,1130.1
"Bituni, Papua",Papua Barat,2013,,,7350.5
Bitung,Sulawesi Utara,2013,1.4389,125.19403,849.5
Bima,NTB,2013,-8.44602,118.71591,293.1
Benoa/Loloan,Bali,2013,-8.74329,115.20943,18.4
Belawan,Sumatera Utara,2013,3.79246,98.71623,7109.3
Batu Ampar,Kepulauan Riau,2013,1.169719444,104.02,761.2
Banjarmasin,Kalimantan Selatan,2013,-3.33321,114.5551,71951.8
Balongan,Jawa Barat,2013,6.360561111,108.3902806,655.5
Balikpapan,Kalimantan Timur,2013,-1.25527,116.81594,15227.2
Bade Irian Jaya,Papua,2013,7.1687,139.5937,70.6
Atapupu,NTT,2013,8.9964,124.8617,65.8
Arjuna,Jawa Barat,2013,7.816666667,112.5666667,0
Ambon,Maluku,2013,-3.6941,128.17627,218.9
Amamapare,Papua,2013,-4.82653,136.84068,1179.4
Waingapu,NTT,2012,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2012,5.133333333,119.4,531.6
Tuban,Jawa Timur,2012,-6.786842,111.8976,374.9
Ternate,Maluku Utara,2012,0.78066,127.38809,7697.6
Tenau,NTT,2012,-10.1718,123.6075,36
Teluk Kasim/Salawati,Papua Barat,2012,1.3,131.0166667,23.6
Tanjung Santan,Kalimantan Timur,2012,8.733333333,109,1563.4
Tanjung Sangata,Kalimantan Timur,2012,0.366666667,117.5666667,36898
Tanjung Priok,DKI Jakarta,2012,-6.10492,106.87615,12000
Tanjung Pinang,Kepulauan Riau,2012,0.92914,104.45295,3333.9
Tanjung Perak,Jawa Timur,2012,7.216666667,112.7333333,6907.3
Tanjung Emas,Jawa Tengah,2012,6.883333333,110.4,1878.4
Sorong,Papua Barat,2012,-0.87802,131.24612,1188.4
Soekarno Hatta 1,DKI Jakarta,2012,5.1225,119.4078,123.3
Senipah,Kalimantan Timur,2012,0.95,117.1666667,1189.5
Sekupang,Kepulauan Riau,2012,1.133333333,103.9166667,280.8
Samarinda,Kalimantan Timur,2012,-0.50507,117.15071,86359.2
Pulau Sambu,Kepulauan Riau,2012,1.166666667,103.9,2260.2
Pontianak,Kalimantan Barat,2012,-0.01847,109.33552,3039.6
Pomalaa,Sulawesi Tenggara,2012,-4.23145,121.57935,6102.3
Pantoloan,Sulawesi Tengah,2012,-0.69477,119.84041,45
Panjang,Lampung,2012,5.466666667,105.3166667,8407.7
Pangkalan Susu,Sumatera Utara,2012,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2012,2.984722222,104.8347222,899
Palembang (Kertapati),Sumatera Selatan,2012,-2.178201,104.952,1189
Pakanbaru/Rumbai,Riau,2012,0.5566,101.4507,18.2
Padang/Teluk Bayur,Sumatera Barat,2012,-8.53394,115.5086,3312.6
Ngurah Rai 1,Bali,2012,-8.75,115.1667,15.9
Musi River/Boom Baru,Sumatera Selatan,2012,2.981111111,104.7816667,4805.3
Merak,Banten,2012,5.95,106,813.3
Mamuju,Sulawesi Barat,2012,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2012,-2.66317,120.98228,239.3
Lingkas Tarakan,Kalimantan Timur,2012,3.283333333,117.6,10660
Kupang,NTT,2012,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2012,3.233333333,116.2166667,72180.8
Kolaka,Sulawesi Tenggara,2012,4.0581,121.5851,4205.4
Kabil/Panau,Kepulauan Riau,2012,1.352016667,104.1581722,1661.1
Hasanuddin 1,Sulawesi Selatan,2012,-5.14,119.4221,4.6
Dumai,Riau,2012,1.6861,101.44849,18410.4
Cirebon,Jawa Barat,2012,-6.70907,108.57073,0.6
Cilacap,Jawa Tengah,2012,-7.74913,109.01491,1719.1
Cigading,Banten,2012,6.016666667,105.95,349.3
Bontang,Kalimantan Timur,2012,0.08553,117.48763,33577.5
Blang Lancang (Arun),Aceh,2012,5.233333333,97.1,1348.1
"Bituni, Papua",Papua Barat,2012,,,7554.6
Bitung,Sulawesi Utara,2012,1.4389,125.19403,1024.5
Bima,NTB,2012,-8.44602,118.71591,331.7
Benoa/Loloan,Bali,2012,-8.74329,115.20943,15.6
Belawan,Sumatera Utara,2012,3.79246,98.71623,7023.3
Batu Ampar,Kepulauan Riau,2012,1.169719444,104.02,735.6
Banjarmasin,Kalimantan Selatan,2012,-3.33321,114.5551,64592.8
Balongan,Jawa Barat,2012,6.360561111,108.3902806,559.5
Balikpapan,Kalimantan Timur,2012,-1.25527,116.81594,15334.6
Bade Irian Jaya,Papua,2012,7.1687,139.5937,79.5
Atapupu,NTT,2012,8.9964,124.8617,30.2
Arjuna,Jawa Barat,2012,7.816666667,112.5666667,288.4
Ambon,Maluku,2012,-3.6941,128.17627,248.3
Amamapare,Papua,2012,-4.82653,136.84068,783
Waingapu,NTT,2011,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2011,5.133333333,119.4,685.4
Tuban,Jawa Timur,2011,-6.786842,111.8976,2174.1
Ternate,Maluku Utara,2011,0.78066,127.38809,8930.8
Tenau,NTT,2011,-10.1718,123.6075,18.5
Teluk Kasim/Salawati,Papua Barat,2011,1.3,131.0166667,38.8
Tanjung Santan,Kalimantan Timur,2011,8.733333333,109,1930.3
Tanjung Sangata,Kalimantan Timur,2011,0.366666667,117.5666667,39469.1
Tanjung Priok,DKI Jakarta,2011,-6.10492,106.87615,12184.3
Tanjung Pinang,Kepulauan Riau,2011,0.92914,104.45295,4755.4
