Language,ID
English,1666
Malayalam,1667
English,1668
Thai,1668
English,1669
English,1670
English,1671
English,1672
Korean,1672
English,1673
English,1674
English,1675
English,1676
English,1677
Filipino,1678
English,1679
Spanish,1680
English,1681
Punjabi,1682
Hindi,1683
Korean,1684
Filipino,1685
Tagalog,1685
English,1685
English,1686
Hindi,1687
English,1688
English,1689
French,1689
English,1690
English,1691
Japanese,1692
English,1693
English,1694
Spanish,1695
English,1695
English,1696
Cantonese,1698
English,1699
Filipino,1700
Tagalog,1700
English,1701
Hindi,1702
English,1703
Hindi,1704
English,1705
English,1706
Hindi,1707
English,1708
English,1709
English,1710
French,1711
Hindi,1712
English,1712
French,1712
French,1713
Spanish,1714
English,1715
Spanish,1716
Hindi,1717
English,1717
English,1718
Polish,1719
Danish,1719
English,1720
English,1721
English,1722
Chinese,1722
English,1723
Hindi,1724
English,1725
English,1726
Thai,1727
Spanish,1728
English,1729
English,1730
English,1731
English,1732
Telugu,1733
English,1734
English,1735
German,1735
Italian,1735
Japanese,1735
Amharic,1735
Russian,1735
English,1736
English,1737
English,1738
Filipino,1739
Tagalog,1739
English,1740
